"","harga","tahun","mileage","variant","transmisi","warna","mesin","merk","model","penumpang","lokasi"
"274",1.85e+08,2012,125000,"G","Automatic","Hitam",2494,"Toyota","Kijang Innova",8,"DKI Jakarta » Cilandak"
"275",9.8e+07,2001,128000,"E46","Automatic","Silver",2494,"BMW","325i",5,"DKI Jakarta » Cibubur"
"276",1.25e+08,2008,142688,"2.0 i-VTEC","Automatic","Hitam",1997,"Honda","CR-V",5,"Banten » Bintaro"
"277",1.3e+08,2014,91000,"Titanium","Automatic","Silver",1499,"Ford","EcoSport",5,"Jawa Timur » Sidoarjo"
"278",143500000,2017,29000,"GL","Manual","Silver",1373,"Suzuki","Ertiga",7,"Jawa Tengah » Tembalang"
"279",1.07e+08,2011,137500,"Highway Star Autech","Automatic","Silver",1498,"Nissan","Grand Livina",7,"Jawa Timur » Taman"
"280",1.1e+08,2015,25000,"Satya E","Manual","Abu-abu",1198,"Honda","Brio",5,"Jawa Barat » Katapang"
"281",1.05e+08,2011,160000,"S","Automatic","Hitam",1497,"Honda","City",5,"DKI Jakarta » Cilandak"
"282",84500000,2011,167500,"G","Automatic","Silver",1298,"Toyota","Avanza",7,"DKI Jakarta » Cempaka Putih"
"283",8.8e+07,2014,51000,"1.2L","Automatic","Merah",1198,"Nissan","March",5,"Banten » Tangerang Kota"
"284",1.25e+08,2009,112660,"1.5","Automatic","Abu-abu",1497,"Honda","Freed",7,"Jawa Barat » Sukmajaya"
"285",1.75e+08,2015,77500,"LT","Automatic","Hitam",1796,"Chevrolet","Orlando",7,"DKI Jakarta » Cibubur"
"286",1.75e+08,2016,52500,"Veloz","Automatic","Hitam",1496,"Toyota","Avanza",7,"Lampung » Sukarame"
"287",1.2e+08,2008,132500,"XLT","Automatic","Hitam",2499,"Ford","Everest",7,"Banten » Modernland"
"288",9.2e+07,2009,100000,"ST","Automatic","Hitam",1490,"Suzuki","Swift",5,"DKI Jakarta » Sunter"
"289",1.17e+08,2011,153000,"S","Manual","Silver",1495,"Toyota","Avanza",7,"Jawa Tengah » Karanganyar"
"290",6.7e+07,2008,169000,"XR","Automatic","Silver",1498,"Nissan","Livina",5,"Jawa Barat » Jatibening"
"291",8.7e+07,2014,80000,"TRD Sportivo","Manual","Putih",998,"Toyota","Agya",5,"Jawa Barat » Ciawi"
"292",2.5e+08,2012,72000,"Exceed","Automatic","Merah",2477,"Mitsubishi","Pajero Sport",7,"Jawa Barat » Singaparna"
"293",1.2e+08,2016,47500,"E","Automatic","Hitam",1329,"Toyota","Avanza",7,"DKI Jakarta » Pancoran"
"294",1.19e+08,2010,117500,"GT","Automatic","Silver",2378,"Mitsubishi","Grandis",7,"Banten » Pondok Pucung"
"295",90500000,2019,4200,"WD","Manual","Hitam",1493,"Suzuki","Carry",3,"Banten » Villa Melati Mas"
"296",1.95e+08,2017,32500,"R","Automatic","Hitam",1496,"Mazda","2",5,"DKI Jakarta » Cinere"
"297",6e+07,1993,107500,"","Manual","Hitam",2250,"Chevrolet","Trooper",8,"Riau » Rupat"
"298",1.35e+08,2014,57500,"R SPORTY","Manual","Putih",1298,"Daihatsu","Xenia",7,"Jawa Barat » Bekasi Utara"
"299",1.55e+08,2012,122500,"G Luxury","Automatic","Putih",1998,"Toyota","Kijang Innova",7,"Lampung » Sukarame"
"300",2.64e+08,2014,57500,"Dakar","Automatic","Hitam",2477,"Mitsubishi","Pajero Sport",7,"DKI Jakarta » Kebayoran Lama"
"301",1.58e+08,2015,37500,"G","Automatic","Putih",1497,"Toyota","Yaris",5,"Jawa Barat » Tanah Sareal"
"302",1.29e+08,2014,77500,"E Prestige","Automatic","Abu-abu",1496,"Honda","Mobilio",7,"Jawa Barat » Cirebon"
"303",76500000,2009,202500,"Xi FAMILY","Manual","Marun",1298,"Daihatsu","Xenia",7,"DKI Jakarta » Daan Mogot"
"304",4e+08,2009,45000,"xDrive35i","Automatic","Putih",2979,"BMW","X6",4,"DKI Jakarta » Senayan"
"305",9.8e+07,2006,2000000,"1.7","Manual","Silver",1668,"Honda","Stream",7,"Nangroe Aceh Darussalam » Langsa Kota"
"306",2.36e+08,2010,67500,"Z","Automatic","Hitam",2362,"Toyota","Vellfire",7,"Kalimantan Timur » Long Hubung"
"307",1.33e+08,2011,32500,"RS","Automatic","Silver",1496,"Honda","Jazz",5,"DKI Jakarta » Pluit"
